row,spam,to_multiple,from,cc,sent_email,time,image,attach,dollar,winner,inherit,viagra,password,num_char,line_breaks,format,re_subj,exclaim_subj,urgent_subj,exclaim_mess,number
1,0,0,1,0,0,12/31/2011 22:16,0,0,0,no,0,0,0,11.37,202,1,0,0,0,0,big
2,0,0,1,0,0,12/31/2011 23:03,0,0,0,no,0,0,0,10.504,202,1,0,0,0,1,small
3,0,0,1,0,0,1/1/2012 1:09,0,0,0,no,0,0,0,13.256,255,1,0,0,0,48,small
4,0,0,1,0,0,1/1/2012 2:00,0,0,0,no,0,0,2,1.231,29,0,0,0,0,1,none
5,0,0,1,0,0,1/1/2012 2:04,0,0,0,no,0,0,2,1.091,25,0,0,0,0,1,none
6,0,0,1,0,0,1/1/2012 8:00,0,0,4,no,1,0,0,7.773,192,1,0,0,0,6,small
7,0,1,1,0,1,1/1/2012 9:55,0,0,0,no,0,0,0,4.837,193,1,0,0,0,1,big
8,0,0,1,0,0,1/1/2012 10:12,0,0,0,no,0,0,0,2.643,68,1,0,0,0,0,small
9,0,0,1,0,1,1/1/2012 10:23,0,0,0,no,0,0,0,0.869,25,1,0,0,0,2,small
10,0,1,1,1,1,1/1/2012 10:45,1,1,0,no,0,0,0,7.421,237,1,0,0,0,18,small
11,1,0,1,0,0,1/1/2012 10:51,0,0,0,no,0,0,0,20.133,364,1,0,0,0,8,small
12,1,0,1,0,0,1/1/2012 11:21,0,0,0,no,0,0,0,3.796,71,1,0,0,0,4,small
13,0,0,1,1,1,1/1/2012 11:38,0,0,0,no,0,0,0,15.075,354,1,1,0,0,10,small
14,0,0,1,0,0,1/1/2012 13:08,0,0,0,no,0,0,0,3.051,69,0,0,0,0,1,small
15,0,0,1,1,0,1/1/2012 13:40,0,0,0,no,0,0,0,4.02,79,0,1,0,0,1,small
16,0,0,1,2,0,1/1/2012 15:32,0,0,2,no,0,0,0,19.693,330,1,1,0,0,4,big
17,0,0,1,1,1,1/1/2012 15:40,0,0,0,no,0,0,0,18.38,481,1,1,0,0,10,small
18,0,0,1,2,0,1/1/2012 16:54,0,0,0,no,0,0,0,13.89,225,1,1,0,0,0,small
19,0,0,1,0,1,1/1/2012 17:40,0,0,0,no,0,0,0,0.596,33,0,1,0,0,2,small
20,0,0,1,0,0,1/1/2012 17:58,0,0,0,no,0,0,0,4.56,64,1,0,0,0,0,none
21,0,0,1,0,0,1/1/2012 18:05,0,0,0,no,0,0,0,2.192,85,1,0,0,0,3,big
22,0,0,1,0,0,1/1/2012 18:05,2,2,9,no,0,0,0,11.453,344,1,0,0,0,4,big
23,0,0,1,0,1,1/1/2012 18:07,0,0,0,no,0,0,0,0.2,10,0,1,0,0,0,small
24,0,0,1,0,0,1/1/2012 18:08,0,0,0,no,0,0,0,4.938,69,1,0,0,0,0,none
25,1,0,1,0,0,1/1/2012 18:16,0,0,0,no,0,0,0,2.705,35,1,0,0,0,0,none
26,0,0,1,0,0,1/1/2012 18:25,0,0,0,no,0,0,0,3.796,71,1,0,0,0,4,small
27,0,0,1,0,0,1/1/2012 18:51,0,0,0,no,0,0,0,2.228,45,0,1,0,0,1,small
28,0,0,1,2,1,1/1/2012 18:58,0,1,0,no,0,0,0,0.235,17,0,0,0,0,0,none
29,0,0,1,0,0,1/1/2012 19:00,0,0,0,no,0,0,0,10.459,191,1,0,0,0,0,big
30,0,0,1,1,0,1/1/2012 19:16,0,0,0,no,0,0,0,3.959,81,0,1,0,0,1,small
31,0,0,1,0,0,1/1/2012 19:58,0,0,0,no,0,0,0,0.506,18,0,0,0,0,0,none
32,0,0,1,2,0,1/1/2012 20:07,0,0,0,no,0,0,0,4.549,67,0,1,0,0,1,small
33,0,0,1,0,0,1/1/2012 20:43,0,0,0,no,0,0,0,2.207,57,1,0,0,0,5,small
34,0,0,1,0,0,1/1/2012 21:42,0,0,5,no,0,0,1,18.037,345,1,0,1,0,20,small
35,0,0,1,0,0,1/1/2012 23:07,0,0,21,no,0,0,0,16.647,560,1,0,0,0,3,small
36,1,0,1,4,0,1/1/2012 23:25,0,2,0,no,0,0,0,0.537,22,0,0,0,0,3,small
37,0,1,1,3,0,1/2/2012 5:41,0,0,0,no,0,0,0,31.644,569,1,1,0,0,2,big
38,0,0,1,0,0,1/2/2012 6:35,0,0,0,no,0,0,0,1.566,39,0,1,0,0,3,small
39,0,0,1,1,0,1/2/2012 7:12,0,0,0,no,0,0,0,45.842,881,1,1,0,0,5,big
40,0,0,1,0,0,1/2/2012 7:12,0,0,0,no,0,0,0,2.317,30,0,0,0,0,0,big
41,0,1,1,1,0,1/2/2012 7:27,0,0,0,no,1,0,0,33.451,558,1,1,0,0,6,big
42,0,0,1,6,0,1/2/2012 7:39,0,0,0,no,0,0,0,13.266,269,0,1,0,0,2,small
43,0,1,1,0,0,1/2/2012 8:44,0,0,0,no,0,0,0,2.196,57,1,1,0,0,1,small
44,0,0,1,4,0,1/2/2012 8:45,0,0,0,no,0,0,0,11.438,125,0,1,0,0,2,small
45,0,0,1,5,0,1/2/2012 9:48,0,0,0,no,0,0,0,12.268,259,0,1,0,0,2,small
46,0,1,1,0,0,1/2/2012 9:49,0,0,0,no,0,0,0,2.018,32,0,1,0,0,0,small
47,0,1,1,2,0,1/2/2012 10:09,0,0,0,no,0,0,0,7.813,97,0,1,0,0,1,small
48,0,0,1,0,0,1/2/2012 10:14,0,0,0,no,0,0,0,1.541,51,0,0,0,0,3,small
49,0,1,1,2,0,1/2/2012 10:37,0,0,0,no,0,0,0,10.614,118,0,1,0,0,1,small
50,0,1,1,0,1,1/2/2012 11:22,0,0,6,no,0,0,0,45.966,1231,1,1,1,0,29,small
51,0,1,1,1,0,1/2/2012 12:50,0,0,0,no,0,0,0,13.788,169,0,1,0,0,3,small
